Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,month,year,day,is_quarter_end,target,Open-Close,Low-High,7_day_MA,RSI,MACD,MACD_signal,MACD_hist,Volume_change
2011-07-22,860.85,866.0,877.0,862.5,873.0,873.35,871.82,3498193,304978948870000.0,88249.0,2078359.0,0.5941,7,2011,22,0,1,-7.350000000000023,-14.5,871.1714285714287,48.81783616825071,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.9405868148339636
2011-07-25,873.35,892.0,892.0,879.15,881.6,882.85,884.58,5007164,442925917605000.0,116024.0,2423803.0,0.4841,7,2011,25,0,0,9.149999999999977,-12.850000000000023,873.3571428571429,52.23045511379082,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.43135727502742127
2011-07-26,882.85,888.25,890.15,869.4,870.35,871.5,876.83,4677273,410116882940000.0,182436.0,2545389.0,0.5442,7,2011,26,0,0,16.75,-20.75,873.1142857142858,48.10373606723943,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.06588380168894004
2011-07-27,871.5,875.0,875.0,859.15,860.8,860.85,865.07,3126064,270426558755000.03,75129.0,1988535.0,0.6361,7,2011,27,0,0,14.149999999999977,-15.850000000000023,872.15,44.54710356029434,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.33164816336356673
2011-07-28,860.85,855.0,855.0,833.4,837.7,837.35,839.63,7154511,600714985170000.0,157298.0,4080997.0,0.5704,7,2011,28,0,0,17.649999999999977,-21.600000000000023,866.1357142857142,37.889968504996,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,1.2886642755874478
2011-07-29,837.35,840.0,847.25,823.15,828.0,827.95,835.82,4890181,408729401225000.0,130721.0,2679709.0,0.5479999999999999,7,2011,29,0,1,12.049999999999955,-24.100000000000023,859.2428571428572,35.59834941030948,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.31648983417594856
2011-08-01,827.95,838.0,838.0,821.35,831.5,830.85,828.7,3255486,269780511500000.0,87062.0,1661701.0,0.5104,8,2011,1,0,1,7.149999999999977,-16.649999999999977,854.9571428571428,36.866963967339565,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.33428108284744473
2011-08-02,830.85,827.55,838.9,818.5,837.55,837.3,829.55,3787775,314213104785000.0,106684.0,1793988.0,0.4736,8,2011,2,0,0,-9.75,-20.399999999999977,849.8071428571429,39.711513331366724,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.16350523393434968
2011-08-03,837.3,826.75,836.2,823.1,825.25,825.05,828.4,3219680,266717191235000.0,66906.0,1649112.0,0.5122,8,2011,3,0,0,1.7000000000000455,-13.100000000000023,841.5500000000001,36.36070100076616,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.14998118948459183
2011-08-04,825.05,828.0,831.65,810.05,811.0,812.35,820.84,3140142,257756809865000.0,88226.0,1469924.0,0.4681,8,2011,4,0,0,15.649999999999977,-21.600000000000023,833.1,33.23016646075907,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.02470369726183974
